# BornAgain Intensity Data
# Simple array suitable for numpy, matlab etc.
# coordinates         intensities
4.373044235157e-01    4.785070404689e+04
4.409638264012e-01    5.235841962166e+04
4.446232280779e-01    5.673775208954e+04
4.482826285356e-01    6.092208960552e+04
4.519420277643e-01    6.485197556181e+04
4.556014257540e-01    6.847530486269e+04
4.592608224946e-01    7.174742791004e+04
4.629202179761e-01    7.463116694777e+04
4.665796121886e-01    7.709675001304e+04
4.702390051218e-01    7.912166827692e+04
4.738983967659e-01    8.069046299003e+04
4.775577871107e-01    8.179444858594e+04
4.812171761463e-01    8.243137875751e+04
4.848765638626e-01    8.260506248869e+04
4.885359502496e-01    8.232493711963e+04
4.921953352973e-01    8.160560554112e+04
4.958547189956e-01    8.046634456249e+04
4.995141013344e-01    7.893059138195e+04
5.031734823038e-01    7.702541491181e+04
5.068328618937e-01    7.478097847991e+04
5.104922400942e-01    7.223000015078e+04
5.141516168950e-01    6.940721658047e+04
5.178109922863e-01    6.634885596329e+04
5.214703662580e-01    6.309212522139e+04
5.251297388001e-01    5.967471617061e+04
5.287891099025e-01    5.613433493794e+04
5.324484795551e-01    5.250825843941e+04
5.361078477481e-01    4.883292124664e+04
5.397672144712e-01    4.514353566803e+04
5.434265797146e-01    4.147374738613e+04
5.470859434681e-01    3.785532848272e+04
5.507453057218e-01    3.431790920120e+04
5.544046664655e-01    3.088874930917e+04
5.580640256894e-01    2.759254945046e+04
5.617233833832e-01    2.445130243555e+04
5.653827395371e-01    2.148418397558e+04
5.690420941409e-01    1.870748196971e+04
5.727014471847e-01    1.613456307445e+04
5.763607986584e-01    1.377587493417e+04
5.800201485519e-01    1.163898214595e+04
5.836794968553e-01    9.728633745806e+03
5.873388435585e-01    8.046859768134e+03
5.909981886515e-01    6.593094224623e+03
5.946575321243e-01    5.364321685457e+03
5.983168739667e-01    4.355244520843e+03
6.019762141688e-01    3.558467773994e+03
6.056355527206e-01    2.964698589876e+03
6.092948896120e-01    2.562957111916e+03
6.129542248330e-01    2.340795785139e+03
6.166135583735e-01    2.284524061764e+03
6.202728902235e-01    2.379435596086e+03
6.239322203730e-01    2.610035135564e+03
6.275915488120e-01    2.960262460256e+03
6.312508755304e-01    3.413710892810e+03
6.349102005182e-01    3.953838091506e+03
6.385695237654e-01    4.564167045711e+03
6.422288452618e-01    5.228475414964e+03
6.458881649976e-01    5.930971585007e+03
6.495474829627e-01    6.656456053676e+03
6.532067991469e-01    7.390467003549e+03
6.568661135404e-01    8.119409164009e+03
6.605254261330e-01    8.830665308077e+03
6.641847369147e-01    9.512689969593e+03
6.678440458756e-01    1.015508519761e+04
6.715033530055e-01    1.074865838772e+04
6.751626582945e-01    1.128546244164e+04
6.788219617324e-01    1.175881870320e+04
6.824812633094e-01    1.216332330232e+04
6.861405630152e-01    1.249483770395e+04
6.897998608400e-01    1.275046440787e+04
6.934591567736e-01    1.292850887503e+04
6.971184508061e-01    1.302842886699e+04
7.007777429274e-01    1.305077247653e+04
7.044370331275e-01    1.299710619924e+04
7.080963213963e-01    1.286993444810e+04
7.117556077239e-01    1.267261194637e+04
7.154148921001e-01    1.240925044842e+04
7.190741745150e-01    1.208462123441e+04
7.227334549585e-01    1.170405480443e+04
7.263927334205e-01    1.127333916046e+04
7.300520098912e-01    1.079861801321e+04
7.337112843603e-01    1.028629018538e+04
7.373705568180e-01    9.742911405078e+03
7.410298272540e-01    9.175099595003e+03
7.446890956586e-01    8.589444665059e+03
7.483483620215e-01    7.992423710503e+03
7.520076263327e-01    7.390322406396e+03
7.556668885823e-01    6.789163272565e+03
7.593261487602e-01    6.194641364572e+03
7.629854068564e-01    5.612067825296e+03
7.666446628608e-01    5.046321611727e+03
7.703039167634e-01    4.501809592494e+03
7.739631685541e-01    3.982435095746e+03
7.776224182230e-01    3.491574875705e+03
7.812816657600e-01    3.032064359845e+03
7.849409111551e-01    2.606190939042e+03
7.886001543982e-01    2.215694971022e+03
7.922593954793e-01    1.861778083478e+03
7.959186343884e-01    1.545118288526e+03
7.995778711155e-01    1.265891355069e+03
8.032371056504e-01    1.023797830258e+03
8.068963379833e-01    8.180950563942e+02
8.105555681039e-01    6.476334953497e+02
8.142147960024e-01    5.108966481465e+02
8.178740216687e-01    4.060438440201e+02
8.215332450927e-01    3.309551693377e+02
8.251924662645e-01    2.832778128370e+02
8.288516851739e-01    2.604731189653e+02
8.325109018110e-01    2.598636647593e+02
8.361701161657e-01    2.786797077016e+02
8.398293282281e-01    3.141043909380e+02
8.434885379879e-01    3.633171376948e+02
8.471477454353e-01    4.235347178279e+02
8.508069505602e-01    4.920495250501e+02
8.544661533526e-01    5.662646629087e+02
8.581253538024e-01    6.437254997979e+02
8.617845518996e-01    7.221474174818e+02
8.654437476341e-01    7.994395427572e+02
8.691029409960e-01    8.737243170220e+02
8.727621319752e-01    9.433528230539e+02
8.764213205617e-01    1.006915851008e+03
8.800805067454e-01    1.063250746172e+03
8.837396905164e-01    1.111444138348e+03
8.873988718645e-01    1.150830706411e+03
8.910580507797e-01    1.180988180944e+03
8.947172272521e-01    1.201728832456e+03
8.983764012715e-01    1.213087732116e+03
9.020355728280e-01    1.215308105794e+03
9.056947419115e-01    1.208824130408e+03
9.093539085120e-01    1.194241543727e+03
9.130130726195e-01    1.172316455078e+03
9.166722342239e-01    1.143932754604e+03
9.203313933151e-01    1.110078523065e+03
9.239905498833e-01    1.071821842736e+03
9.276497039182e-01    1.030286403042e+03
9.313088554100e-01    9.866272823158e+02
9.349680043485e-01    9.420072700376e+02
9.386271507237e-01    8.975740723344e+02
9.422862945257e-01    8.544387178713e+02
9.459454357443e-01    8.136554521768e+02
9.496045743696e-01    7.762033761770e+02
9.532637103914e-01    7.429700500480e+02
9.569228437999e-01    7.147372468819e+02
9.605819745848e-01    6.921690026121e+02
9.642411027363e-01    6.758020698522e+02
9.679002282443e-01    6.660388442329e+02
9.715593510987e-01    6.631427930188e+02
9.752184712895e-01    6.672363778713e+02
9.788775888067e-01    6.783014269266e+02
9.825367036403e-01    6.961818765260e+02
9.861958157802e-01    7.205887702495e+02
9.898549252163e-01    7.511073728437e+02
9.935140319387e-01    7.872062294654e+02
9.971731359374e-01    8.282479767412e+02
1.000832237202e+00    8.735016916516e+02
1.004491335723e+00    9.221565474021e+02
1.008150431490e+00    9.733365323466e+02
1.011809524494e+00    1.026115978794e+03
1.015468614723e+00    1.079535643117e+03
1.019127702168e+00    1.132619077029e+03
1.022786786820e+00    1.184389032066e+03
1.026445868667e+00    1.233883645075e+03
1.030104947700e+00    1.280172161763e+03
1.033764023909e+00    1.322369967732e+03
1.037423097284e+00    1.359652711876e+03
1.041082167815e+00    1.391269325009e+03
1.044741235492e+00    1.416553757038e+03
1.048400300304e+00    1.434935278384e+03
1.052059362243e+00    1.445947215418e+03
1.055718421297e+00    1.449234015039e+03
1.059377477456e+00    1.444556559717e+03
1.063036530711e+00    1.431795681122e+03
1.066695581052e+00    1.410953847317e+03
1.070354628469e+00    1.382155025153e+03
1.074013672951e+00    1.345642745582e+03
1.077672714489e+00    1.301776424679e+03
1.081331753072e+00    1.251026017083e+03
1.084990788690e+00    1.193965100818e+03
1.088649821334e+00    1.131262512952e+03
1.092308850994e+00    1.063672673997e+03
1.095967877658e+00    9.920247550211e+02
1.099626901319e+00    9.172108552195e+02
1.103285921964e+00    8.401733687712e+02
1.106944939585e+00    7.618917282922e+02
1.110603954171e+00    6.833687178889e+02
1.114262965712e+00    6.056165518295e+02
1.117921974198e+00    5.296429150361e+02
1.121580979620e+00    4.564371592174e+02
1.125239981966e+00    3.869568433515e+02
1.128898981228e+00    3.221147997527e+02
1.132557977395e+00    2.627668970800e+02
1.136216970457e+00    2.097006596466e+02
1.139875960404e+00    1.636248884413e+02
1.143534947225e+00    1.251604135874e+02
1.147193930912e+00    9.483209080001e+01
1.150852911454e+00    7.306213603142e+01
1.154511888840e+00    6.016487312447e+01
1.158170863061e+00    5.634294929880e+01
1.161829834108e+00    6.168505284059e+01
1.165488801969e+00    7.616514682251e+01
1.169147766634e+00    9.964321230030e+01
1.172806728095e+00    1.318674744122e+02
